2025/08/21 09:10更新,#genre#
翡翠台,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
美亚电影,http://cdn9.163189.xyz/smt1.1.php?id=meiyamovie_twn
天映,http://cdn9.163189.xyz/smt1.1.php?id=Celestial
无线新闻,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
无线新闻,https://cdn9.163189.xyz/smt3.1.1.php?id=inews_twn

港澳G组,#genre#
TVBJ2,https://smt.1789.dpdns.org/smt3.2.1.php?id=j2_twn
翡翠台,https://smt.1789.dpdns.org/smt3.2.1.php?id=Tvbjade
翡翠台,https://smt.1789.dpdns.org/smt3.2.1.php?id=Wlt
美亚台湾,https://smt.1789.dpdns.org/smt3.2.1.php?id=meiyamovie_twn
天映经典,https://smt.1789.dpdns.org/smt3.2.1.php?id=Celestial2
无线翡翠,https://smt.1789.dpdns.org/smt3.2.1.php?id=jade_twn
无线明珠,https://smt.1789.dpdns.org/smt3.2.1.php?id=pearl_twn
无线新闻,https://smt.1789.dpdns.org/smt3.2.1.php?id=inews_twn
无线星河,https://smt.1789.dpdns.org/smt3.2.1.php?id=Xinhe

港澳H组,#genre#
TVBS新闻台,https://www.youtube.com/watch?v=m_dhMSvUCIc
东森财经新闻台,https://www.youtube.com/watch?v=LbS-xQ67fos
东森新闻台,https://www.youtube.com/live/V1p33hqPrUk?si=IyGTwsTSIL7hXDKN
华视新闻台,https://www.youtube.com/watch?v=wM0g8EoUZ_E
寰宇新闻台,https://www.youtube.com/watch?v=6IquAgfvYmc
民视新闻台,https://www.youtube.com/watch?v=ylYJSBUgaMA
三立NEWS+,https://www.youtube.com/watch?v=oZdzzvxTfUY
三立iNEWS,https://www.youtube.com/watch?v=CKjSm5ZeehE
三立新闻台,https://www.youtube.com/watch?v=FoBfXvlOR6I
台视新闻台,https://www.youtube.com/watch?v=xL0ch83RAK8
中视新闻台,https://www.youtube.com/watch?v=TCnaIE_SAtM
中天新闻1台,https://www.youtube.com/watch?v=oIgbl7t0S_w
中天新闻2台,https://www.youtube.com/watch?v=WPfPjbOLNfE

港澳I组,#genre#
华剧台,https://s2-10623-kwimgs.52520.xyz/histar.php?key=e7613508260c3c3d8d25b90c55a923bf&id=golden-chinese-drama
龙华电影台,https://s2-10623-kwimgs.52520.xyz/4gtv.php?key=e7613508260c3c3d8d25b90c55a923bf&id=litv-longturn03
龙华经典台,https://s2-10623-kwimgs.52520.xyz/4gtv.php?key=e7613508260c3c3d8d25b90c55a923bf&id=litv-longturn21
龙华偶像,https://s2-10623-kwimgs.52520.xyz/4gtv.php?key=e7613508260c3c3d8d25b90c55a923bf&id=litv-longturn12
龙华戏剧台,https://s2-10623-kwimgs.52520.xyz/4gtv.php?key=e7613508260c3c3d8d25b90c55a923bf&id=litv-longturn18

港澳J组,#genre#
美亚国语,http://fr-us7.jdiptv.cc/live/xgmydygy.m3u8?kdstime=1743859381&kdssign=0a4319dd594b828e5ba42925247e6dab
天映经典,http://fr-us7.jdiptv.cc/live/xgtyjdgy.m3u8?kdstime=1743859355&kdssign=2e11188ed5ffbd7cdf6dc9bff2624fde
天映经典,http://fr-us7.jdiptv.cc/live/xgtyjdgy.m3u8?kdstime=1743869161&kdssign=daa66579226bc8372e650b17580b8864

