DG音乐台,#genre#
沈阳音乐广播,http://lms.csytv.com/Live/121/live/livestream.m3u8
黑龙江音乐广播,http://satellitepull.cnr.cn/live/wx32hljyygb/playlist.m3u8
四川珉江音乐台,http://satellitepull.cnr.cn/live/wxscmjyyt/playlist.m3u8
攀枝花音乐调频,http://zb.pzhgd.com:9091/live/fm885.m3u8
贵州音乐广播,rtmp://hls1.gzstv.com/livegztv/yinyue
内蒙古音乐之声,http://satellitepull.cnr.cn/live/wx32nmgyygb/playlist.m3u8
佛山电台FM92.4,http://live-hls.fs.linker.cc/fshs/fs_ts_03.m3u8
西安音乐广播,http://stream3.xiancity.cn/4/sd/live.m3u8
辽宁音乐广播（FM102.9）,http://satellitepull.cnr.cn/live/wxlnwygb/playlist.m3u8
中国国际广播电台都市流行频道,http://satellitepull.cnr.cn/live/wxgjlxyy/playlist.m3u8
中国国际广播电台怀旧金曲频道,http://sk.cri.cn/oldies.m3u8
湖南音乐之声超级893,rtmp://39.108.163.99:1935/live/fm893
天津古典音乐广播,http://cnlive.cnr.cn/hls/tjgdyygb.m3u8
河北音乐广播,rtmp://mms.hebradio.com/live/26
乐田1069,rtmp://39.108.163.99:1935/live/fm1069
唐山音乐广播,http://live1.tsr.he.cn:1936/live/tsfm2/128k/tzwj_video.m3u8
钦州电台音乐广播,http://live.gxqztv.com/cspd3/sd/live.m3u8
南京汽车音乐广播,http://hls.njgb.com/live_hls/4/playlist.m3u8
FM92.9南通音乐交通广播,http://nttv.wshls.homecdn.com/live/7ccf.m3u8
怀集音乐之声,http://cnlive.cnr.cn/hls/hjyyzs.m3u8
中央台中国民乐广播,http://rtmpcnr021.cnr.cn/live/zgmy/playlist.m3u8
中央台古典音乐广播,http://rtmpcnr022.cnr.cn/live/gdyy/playlist.m3u8
张家口品味986音乐广播,http://nlive.zjkgdcs.com:8091/live/pwgb.m3u8
FM90.7威海音乐时尚广播,http://l1.weihai.tv:8081/hls/3B4EC2bCl3.m3u8
镇江音乐广播,http://live.zjmc.tv/6/sd/live.m3u8
南通音乐广播,http://nttv.wshls.homecdn.com/live/7ccd.m3u8
邯郸音乐广播,rtmp://mms.hdbs.cn:1937/live/hdyygbzb
枣庄音乐广播,rtmp://juyunlive.juyun.tv/live/05881265
乌鲁木齐MYFM1039音乐广播,http://aod.xjbs.com.cn:1935/live/1039/32K/tzwj_video.m3u8
宁夏音乐广播,http://satellitepull.cnr.cn/live/wxnxyygb/playlist.m3u8
海南音乐广播,http://satellitepull.cnr.cn/live/wxhainyygb/playlist.m3u8
河北私家车广播,rtmp://mms.hebradio.com/live/24
舟山汽车音乐广播,http://live.wifizs.cn/fm91/sd/live.m3u8
湖南FM893汽车音乐电台,rtmp://39.108.163.99:1935/live/fm893
湖南FM1069年代音乐台,rtmp://39.108.163.99:1935/live/fm1069
湖南FM975摩登音乐台,rtmp://39.108.163.99:1935/live/fm975
重庆巴渝之声,http://bananlive.cbg.cn/channel4/sd/live.m3u8
东莞电台音乐广播,http://mtv.sun0769.com/dgrtv1/mp4:tv12/index.m3u8
惠州电台音乐广播,http://livehuiz.sobeycache.com/live/gb3.m3u8?auth_key=1593747098-0-0-64875592349d23b5cb8d7cead4b57502
广州电台MYFM880都市生活广播,http://23436.liveplay.myqcloud.com/live/23436_146d13b4a9a111e892905cb9018cf0d4.m3u8
银川都市经济广播,http://stream.ycgbtv.com.cn/ycdupl/sd/live.m3u8
合肥汽车音乐广播,http://120.193.102.2/hfradio/hfdta178/index.m3u8
龙广音乐台,http://satellitepull.cnr.cn/live/wx32hljyygb/playlist.m3u8
HITFM成都台FM88.7,http://livecdn.cdbs.com.cn/fm963.flv/playlist.m3u8
成都广播电台经典946,http://livecdn.cdbs.com.cn/fm946.flv/playlist.m3u8
贵阳音乐广播,http://hls.qguiyang.com/FM909/800/4blFv.m3u8
楚雄电台音乐广播,http://live.cxgb.net:1935/live/live101/64K/tzwj_video.m3u8
经典1042蚌埠经济广播,http://newvod.ahbbtv.com:1935/live/jjpl/playlist.m3u8
淮北音乐广播,http://live1.0561rtv.com:9600/live/live7/64K/tzwj_video.m3u8
周口音乐广播,rtmp://tv.zkxww.com:1935/broadcast/1004.stream_aac
天津滨海音乐广播,http://60.30.52.41/live/FM100.5/playlist.m3u8
